,age_bracket,Gender,County,Party,Count,voted_2024,voted_2020,voted_2016
297,25-34,Male,Baltimore City,OTH,1038,298,260,176
298,25-34,Male,Baltimore City,REP,3684,1743,1377,843
299,25-34,Male,Baltimore City,UNA,9782,3638,2888,1757
300,25-34,Male,Baltimore County,DEM,21162,10698,11190,7605
301,25-34,Male,Baltimore County,OTH,1358,514,478,348
302,25-34,Male,Baltimore County,REP,10389,6293,5437,3873
303,25-34,Male,Baltimore County,UNA,13353,5619,4999,3217
304,25-34,Male,Calvert,DEM,1387,733,731,516
305,25-34,Male,Calvert,OTH,150,73,58,43
306,25-34,Male,Calvert,REP,2216,1468,1200,925
307,25-34,Male,Calvert,UNA,1633,759,624,436
308,25-34,Male,Caroline,DEM,347,154,177,108
309,25-34,Male,Caroline,OTH,51,29,28,18
310,25-34,Male,Caroline,REP,851,581,497,351
311,25-34,Male,Caroline,UNA,474,207,173,113
312,25-34,Male,Carroll,DEM,1950,1152,1222,802
313,25-34,Male,Carroll,OTH,316,143,144,111
314,25-34,Male,Carroll,REP,4811,3119,3069,2187
315,25-34,Male,Carroll,UNA,2962,1423,1295,874
316,25-34,Male,Cecil,DEM,1218,567,509,322
317,25-34,Male,Cecil,OTH,206,96,81,50
318,25-34,Male,Cecil,REP,2722,1837,1407,948
319,25-34,Male,Cecil,UNA,1871,749,517,362
320,25-34,Male,Charles,DEM,5511,2560,2930,2023
321,25-34,Male,Charles,OTH,249,92,84,66
322,25-34,Male,Charles,REP,1731,1020,880,594
323,25-34,Male,Charles,UNA,2886,1180,1107,718
324,25-34,Male,Dorchester,DEM,502,200,189,135
325,25-34,Male,Dorchester,OTH,49,21,18,11
326,25-34,Male,Dorchester,REP,700,472,409,297
327,25-34,Male,Dorchester,UNA,468,172,124,82
328,25-34,Male,Frederick,DEM,5640,3314,3258,2070
329,25-34,Male,Frederick,OTH,462,219,205,147
330,25-34,Male,Frederick,REP,5505,3424,3117,2179
331,25-34,Male,Frederick,UNA,5633,2662,2385,1458
332,25-34,Male,Garrett,DEM,149,85,72,55
333,25-34,Male,Garrett,OTH,32,10,9,7
334,25-34,Male,Garrett,REP,1020,641,606,412
335,25-34,Male,Garrett,UNA,326,135,115,75
336,25-34,Male,Harford,DEM,4287,2345,2440,1556
337,25-34,Male,Harford,OTH,542,256,211,160
338,25-34,Male,Harford,REP,5933,4004,3600,2570
339,25-34,Male,Harford,UNA,4901,2341,2051,1249
340,25-34,Male,Howard,DEM,8986,5374,5566,3487
341,25-34,Male,Howard,OTH,444,189,177,131
342,25-34,Male,Howard,REP,3618,2182,2005,1312
343,25-34,Male,Howard,UNA,6262,3100,2851,1645
344,25-34,Male,Kent,DEM,246,114,107,60
345,25-34,Male,Kent,OTH,29,13,15,10
346,25-34,Male,Kent,REP,390,272,237,161
347,25-34,Male,Kent,UNA,285,135,111,51
348,25-34,Male,Montgomery,DEM,28762,16620,16624,10104
349,25-34,Male,Montgomery,OTH,1187,482,477,289
350,25-34,Male,Montgomery,REP,7512,4277,3780,2304
