age_bracket,Gender,County,Party,Count,voted_2024,voted_2020
35-50,Male,Kent,REP,571,434,400
35-50,Male,Kent,UNA,337,188,163
35-50,Male,Montgomery,DEM,43685,32007,28743
35-50,Male,Montgomery,OTH,1745,896,800
35-50,Male,Montgomery,REP,12379,8658,7389
35-50,Male,Montgomery,UNA,27632,17403,14872
35-50,Male,Prince George's,DEM,50614,26598,27385
35-50,Male,Prince George's,OTH,2576,666,622
35-50,Male,Prince George's,REP,6360,3156,2701
35-50,Male,Prince George's,UNA,19518,8683,8218
35-50,Male,Queen Anne's,DEM,815,540,521
35-50,Male,Queen Anne's,OTH,120,79,65
35-50,Male,Queen Anne's,REP,2411,1964,1793
35-50,Male,Queen Anne's,UNA,1246,827,717
35-50,Male,Saint Mary's,DEM,2481,1581,1498
35-50,Male,Saint Mary's,OTH,294,160,138
35-50,Male,Saint Mary's,REP,4568,3550,3114
35-50,Male,Saint Mary's,UNA,3159,1953,1657
35-50,Male,Somerset,DEM,453,189,231
35-50,Male,Somerset,OTH,45,20,17
35-50,Male,Somerset,REP,669,452,451
35-50,Male,Somerset,UNA,338,146,127
35-50,Male,Talbot,DEM,784,488,469
35-50,Male,Talbot,OTH,90,48,45
35-50,Male,Talbot,REP,1158,915,845
35-50,Male,Talbot,UNA,756,441,387
35-50,Male,Washington,DEM,3231,1906,1744
35-50,Male,Washington,OTH,356,177,156
35-50,Male,Washington,REP,5545,3950,3407
35-50,Male,Washington,UNA,3926,2029,1681
35-50,Male,Wicomico,DEM,2415,1263,1243
35-50,Male,Wicomico,OTH,245,103,83
35-50,Male,Wicomico,REP,2925,2135,1940
35-50,Male,Wicomico,UNA,2244,1139,999
35-50,Male,Worcester,DEM,1060,598,580
35-50,Male,Worcester,OTH,118,53,45
35-50,Male,Worcester,REP,1954,1437,1357
35-50,Male,Worcester,UNA,1331,718,650
51-64,Female,Allegany,DEM,1340,956,889
51-64,Female,Allegany,OTH,69,37,27
51-64,Female,Allegany,REP,3150,2586,2396
51-64,Female,Allegany,UNA,890,543,482
51-64,Female,Anne Arundel,DEM,23398,19383,19142
51-64,Female,Anne Arundel,OTH,570,368,356
51-64,Female,Anne Arundel,REP,18306,15310,15265
51-64,Female,Anne Arundel,UNA,10166,7439,7194
51-64,Female,Baltimore City,DEM,35977,24176,24669
51-64,Female,Baltimore City,OTH,469,185,181
51-64,Female,Baltimore City,REP,2898,1520,1533
