year,month,county,inactive
2014,09,ANNE ARUNDEL,30683
2014,09,BALTIMORE CITY,42905
2014,09,BALTIMORE CO.,37136
2014,09,CALVERT,4271
2014,09,CAROLINE,1776
2014,09,CARROLL,5608
2014,09,CECIL,6242
2014,09,CHARLES,7404
2014,09,DORCHESTER,1460
2014,09,FREDERICK,10930
2014,09,GARRETT,985
2014,09,HARFORD,8059
2014,09,HOWARD,11984
2014,09,KENT,918
2014,09,MONTGOMERY,44055
2014,09,PR. GEORGE'S,56488
2014,09,QUEEN ANNE'S,1648
2014,09,ST. MARY'S,5487
2014,09,SOMERSET,1567
2014,09,TALBOT,1899
2014,09,WASHINGTON,6331
2014,09,WICOMICO,5811
2014,09,WORCESTER,4227
2019,11,ALLEGANY,2402
2019,11,ANNE ARUNDEL,21811
2019,11,BALTIMORE CITY,19819
2019,11,BALTIMORE CO.,22767
2019,11,CALVERT,3427
2019,11,CAROLINE,848
2019,11,CARROLL,5883
2019,11,CECIL,5733
2019,11,CHARLES,7142
2019,11,DORCHESTER,953
2019,11,FREDERICK,10698
2019,11,GARRETT,1047
2019,11,HARFORD,9036
2019,11,HOWARD,10635
2019,11,KENT,708
2019,11,MONTGOMERY,61003
2019,11,PR. GEORGE'S,31635
2019,11,QUEEN ANNE'S,1593
2019,11,ST. MARY'S,6568
2019,11,SOMERSET,512
2019,11,TALBOT,1184
2019,11,WASHINGTON,8032
2019,11,WICOMICO,3365
2019,11,WORCESTER,2426
2018,08,ALLEGANY,3070
2018,08,ANNE ARUNDEL,22491
2018,08,BALTIMORE CITY,26113
2018,08,BALTIMORE CO.,27615
2018,08,CALVERT,4023
2018,08,CAROLINE,1049
2018,08,CARROLL,7592
2018,08,CECIL,7455
2018,08,CHARLES,7424
2018,08,DORCHESTER,1342
2018,08,FREDERICK,10920
2018,08,GARRETT,1340
2018,08,HARFORD,9368
2018,08,HOWARD,13673
2018,08,KENT,865
2018,08,MONTGOMERY,80990
2018,08,PR. GEORGE'S,43630
2018,08,QUEEN ANNE'S,2112
2018,08,ST. MARY'S,6325
2018,08,SOMERSET,923
2018,08,TALBOT,1501
2018,08,WASHINGTON,9589
2018,08,WICOMICO,4139
2018,08,WORCESTER,2410
2006,12,ALLEGANY,2327
2006,12,ANNE ARUNDEL,15958
2006,12,BALTIMORE CITY,19159
2006,12,BALTIMORE CO.,27078
2006,12,CALVERT,5294
2006,12,CAROLINE,8080
2006,12,CARROLL,6784
2006,12,CECIL,4308
2006,12,CHARLES,3786
2006,12,DORCHESTER,776
2006,12,FREDERICK,14736
2006,12,GARRETT,375
2006,12,HARFORD,9750
2006,12,HOWARD,15025
2006,12,KENT,449
2006,12,MONTGOMERY,33938
2006,12,PR. GEORGE'S,29321
2006,12,QUEEN ANNE'S,849
2006,12,ST. MARY'S,2135
2006,12,SOMERSET,900
2006,12,TALBOT,1061
2006,12,WASHINGTON,5931
2006,12,WICOMICO,2408
2006,12,WORCESTER,2201
2012,04,ALLEGANY,2627
