year,month,county,dem,rep,unaf,other
2011,11,TALBOT,9780,10812,3675,292
2011,11,WASHINGTON,30949,36998,14804,125
2011,11,WICOMICO,24485,19742,8249,680
2011,11,WORCESTER,15087,13804,5366,404
2013,05,ALLEGANY,15558,20241,6174,407
2013,05,ANNE ARUNDEL,149397,125006,72924,249
2013,05,BALTIMORE CITY,298185,30604,44503,1400
2013,05,BALTIMORE CO.,302636,133984,80474,5719
2013,05,CALVERT,23382,23522,11398,488
2013,05,CAROLINE,7287,7739,3229,144
2013,05,CARROLL,32665,57327,20133,984
2013,05,CECIL,23529,23894,12658,695
2013,05,CHARLES,55984,24763,15609,540
2013,05,DORCHESTER,10552,7188,2541,124
2013,05,FREDERICK,54471,60546,32159,92
2013,05,GARRETT,4700,11763,2144,192
2013,05,HARFORD,62415,67133,27703,1211
2013,05,HOWARD,92091,56362,40772,2428
2013,05,KENT,6144,4560,1785,135
2013,05,MONTGOMERY,351340,124763,143486,3214
2013,05,PR. GEORGE'S,455226,47284,59035,18807
2013,05,QUEEN ANNE'S,11381,15502,5641,204
2013,05,ST. MARY'S,25760,26058,12663,454
2013,05,SOMERSET,6978,4574,1611,113
2013,05,TALBOT,10012,11046,4182,258
2013,05,WASHINGTON,31499,38445,16552,319
2013,05,WICOMICO,26072,20732,9694,632
2013,05,WORCESTER,15042,14604,6214,354
2017,08,ALLEGANY,14033,21335,7020,304
2017,08,ANNE ARUNDEL,159360,135256,81890,1115
2017,08,BALTIMORE CITY,303719,31452,45366,1591
2017,08,BALTIMORE CO.,306815,143313,89809,4429
2017,08,CALVERT,23705,26361,13074,391
2017,08,CAROLINE,6878,9130,3760,118
2017,08,CARROLL,32189,63301,23677,816
2017,08,CECIL,21408,27442,13787,553
2017,08,CHARLES,65490,25642,17824,476
2017,08,DORCHESTER,9973,7997,2946,102
2017,08,FREDERICK,61466,66113,37707,296
2017,08,GARRETT,4276,12679,2401,141
2017,08,HARFORD,63910,77081,34171,1103
2017,08,HOWARD,105317,56608,46736,1838
2017,08,KENT,6002,4710,2030,109
2017,08,MONTGOMERY,377164,116477,141207,4663
2017,08,PR. GEORGE'S,451903,41512,64951,11633
2017,08,QUEEN ANNE'S,10682,17661,6563,172
2017,08,ST. MARY'S,25442,29203,13943,403
2017,08,SOMERSET,5921,5129,1766,73
2017,08,TALBOT,10015,11645,4840,188
2017,08,WASHINGTON,31787,42182,18837,431
2017,08,WICOMICO,26455,22782,10749,437
2017,08,WORCESTER,14250,16479,6925,293
2012,10,ALLEGANY,15561,20010,5902,408
2012,10,ANNE ARUNDEL,149430,125472,71739,261
2012,10,BALTIMORE CITY,309451,33043,46734,1542
2012,10,BALTIMORE CO.,298181,132760,75636,6047
2012,10,CALVERT,23377,23459,11214,538
2012,10,CAROLINE,7190,7646,3106,145
2012,10,CARROLL,32801,56890,19111,987
2012,10,CECIL,24211,24368,12832,744
2012,10,CHARLES,55746,25355,15725,575
2012,10,DORCHESTER,10422,7132,2433,127
2012,10,FREDERICK,54642,61114,31482,95
2012,10,GARRETT,4725,11628,2086,206
2012,10,HARFORD,63538,67497,26756,1242
2012,10,HOWARD,90233,56356,38624,2631
2012,10,KENT,6098,4572,1714,140
2012,10,MONTGOMERY,346348,125347,139232,3309
2012,10,PR. GEORGE'S,444214,47534,56315,19679
2012,10,QUEEN ANNE'S,11369,15294,5297,209
2012,10,ST. MARY'S,25334,25748,12069,469
2012,10,SOMERSET,7265,4600,1702,123
2012,10,TALBOT,9904,10981,4016,267
2012,10,WASHINGTON,31750,38547,16124,308
2012,10,WICOMICO,25506,20667,9319,677
2012,10,WORCESTER,15016,14433,6079,383
2008,01,ALLEGANY,16481,19245,4418,458
2008,01,ANNE ARUNDEL,132117,115317,53878,134
2008,01,BALTIMORE CITY,265263,32043,35514,1233
2008,01,BALTIMORE CO.,271483,125889,56322,5984
2008,01,CALVERT,20844,20876,8287,531
2008,01,CAROLINE,6856,6642,2420,154
2008,01,CARROLL,32711,51816,14277,31
2008,01,CECIL,22918,21228,9638,773
2008,01,CHARLES,39411,24556,11848,947
2008,01,DORCHESTER,9320,6481,1844,180
2008,01,FREDERICK,45673,54589,22313,52
2008,01,GARRETT,4895,10704,1361,195
2008,01,HARFORD,59624,58895,18521,469
2008,01,HOWARD,74764,52815,29181,1778
2008,01,KENT,5984,4304,1474,128
2008,01,MONTGOMERY,274701,120133,105046,1915
2008,01,PR. GEORGE'S,330462,47001,31786,32466
2008,01,QUEEN ANNE'S,10841,13269,3591,226
2008,01,ST. MARY'S,22254,20662,8408,583
2008,01,SOMERSET,7006,3975,1347,109
2008,01,TALBOT,10080,11251,3493,329
2008,01,WASHINGTON,30267,36111,11846,1013
2008,01,WICOMICO,22947,18895,7081,601
2008,01,WORCESTER,14998,12903,4615,459
2012,04,ALLEGANY,15785,19916,5623,401
2012,04,ANNE ARUNDEL,145246,123341,66028,258
